Term	Count
hoj5	24
hoh11	24
her63	24
fxj4	24
dnj45	24
dnj42	24
dnj191	24
dnj185	24
cwt33	24
cor1	24
cle9	24
bcf6	24
toa22	23
stw14	23
stw103	23
spe21	23
raw50	23
raw25	23
maa47	23
lej11	23
jnb186	23
huf1	23
hag3	23
dye12	23
drj117	23
doc37	23
dnj180	23
dnj179	23
dnj138	23
dnj104	23
cwt11	23
cwt108	23
cor13	23
cor10	23
clj4	23
roj89	22
roj16	22
raw74	22
mkm1	22
lyj8	22
kih21	22
jnb25	22
hrj43	22
her75	22
dnj95	22
dnj49	22
dnj17	22
dnj131	22
dnj10	22
dej22	22
daj23	22
cwt78	22
cor47	22
cor31	22
cmw51	22
cmw2	22
cle14	22
bur1	22
bcf3	22
stw155	21
stw128	21
roj44	21
pew26	21
mrj17	21
maa46	21
maa38	21
lyj9	21
kih63	21
kih54	21
jnb151	21
hrj60	21
hrj36	21
haa2	21
evj23	21
drw136	21
drj174	21
doc19	21
dnj77	21
cwt8	21
cor22	21
bus1	21
brw53	21
stw54	20
stw129	20
sip86	20
sec29	20
roj73	20
raw52	20
raw37	20
raw127	20
ovt9	20
kih56	20
kih32	20
hrj58	20
hoj34	20
hoh16	20
dnj9	20
dnj187	20
dej4	20
daw9	20
ctr44	20
cor8	20
cor21	20
cor15	20
cmt56	20
alw91	20
suj89	19
stw69	19
stw32	19
stw137	19
stw125	19
roj32	19
raw19	19
maa5	19
kih57	19
jnb89	19
jnb50	19
jnb161	19
hoj31	19
hoj2	19
hoj1	19
dnj30	19
cwt6	19
cor39	19
cor11	19
wae137	18
suj90	18
stw90	18
stw41	18
stw121	18
raw119	18
myj5	18
maa33	18
kih16	18
hlj61	18
her27	18
her13	18
evj49	18
eaj6	18
drj81	18
drj53	18
dnj75	18
dnj184	18
cwt97	18
cwt89	18
cwt104	18
ctr7	18
cor7	18
cor26	18
bus9	18
brt17	18
bmf10	18
bcf9	18
bcf134	18
bcf123	18
wae22	17
taj23	17
stw42	17
stw151	17
stw124	17
roj97	17
rnt36	17
raw93	17
raw56	17
raw40	17
raw128	17
mog7	17
jnb58	17
jnb36	17
hrj70	17
hre57	17
hag7	17
etg1	17
elq46	17
drm27	17
doc9	17
doc39	17
doc27	17
dnj52	17
dnj199	17
dnj140	17
dnj130	17
cwt49	17
cwt25	17
ctr21	17
ctr19	17
coa77	17
cmw10	17
brw4	17
brn51	17
wyw9	16
wae47	16
stw76	16
stw139	16
stw113	16
roj88	16
rnt63	16
rnt51	16
rnt1	16
raw125	16
psk158	16
maa30	16
maa29	16
jnb74	16
jnb187	16
her23	16
fut9	16
doc22	16
dnj71	16
dnj36	16
dnj28	16
dnj193	16
dnj160	16
dnj135	16
dnj12	16
dnj111	16
cwt95	16
cwt80	16
cwt123	16
cor6	16
cor30	16
cmw11	16
cle13	16
bmf11	16
bcf47	16
bcf32	16
wig1	15
wae46	15
wae44	15
toa16	15
stw99	15
stw47	15
stw2	15
stw115	15
stw110	15
spe30	15
shj54	15
alw98	3
alw75	3
alw71	3
alw70	3
alw69	3
alw68	3
alw46	3
alw37	3
alw36	3
alw35	3
alw137	3
alw102	3
alw101	3
wyt94	2
wyt9	2
wyt88	2
wyt87	2
wyt80	2
wyt79	2
wyt73	2
wyt65	2
wyt60	2
wyt52	2
wyt5	2
wyt43	2
wyt38	2
wyt36	2
wyt32	2
wyt303	2
wyt302	2
wyt30	2
wyt3	2
wyt295	2
wyt292	2
wyt290	2
wyt288	2
wyt287	2
wyt281	2
wyt28	2
wyt277	2
wyt275	2
wyt274	2
wyt271	2
wyt270	2
wyt266	2
wyt265	2
wyt261	2
wyt259	2
wyt254	2
wyt252	2
wyt25	2
wyt249	2
wyt246	2
wyt242	2
wyt24	2
wyt238	2
wyt234	2
wyt229	2
wyt224	2
wyt221	2
wyt213	2
wyt21	2
wyt204	2
wyt2	2
wyt190	2
wyt189	2
wyt187	2
wyt185	2
wyt183	2
wyt165	2
wyt162	2
wyt159	2
wyt158	2
wyt148	2
wyt139	2
wyt133	2
wyt132	2
wyt131	2
wyt13	2
wyt129	2
wyt126	2
wyt119	2
wyt118	2
wyt117	2
wyt112	2
wyt11	2
wyt109	2
wyt102	2
wyt1	2
wti54	2
wti4	2
wti20	2
wti16	2
wti13	2
wti12	2
wti10	2
wrm8	2
wrm3	2
wrm2	2
woh30	2
woh28	2
woh13	2
wig4	2
wig29	2
wig28	2
wig26	2
wig20	2
wig2	2
wig18	2
wig16	2
wha3	2
wha27	2
wha13	2
wej4	2
wej3	2
wee1	2
wae76	2
wae75	2
wae69	2
wae52	2
wae42	2
wae35	2
wae28	2
wae26	2
wae21	2
wae17	2
wae168	2
wae166	2
wae147	2
wae144	2
wae143	2
wae138	2
wae131	2
wae128	2
wae115	2
wae105	2
vaj7	2
vaj11	2
udn1	2
trt77	2
trt70	2
trt276	2
trt271	2
trt264	2
trt261	2
trt241	2
trt237	2
trt233	2
trt220	2
trt218	2
trt215	2
trt201	2
trt200	2
trt182	2
trt178	2
trt170	2
trt156	2
trt148	2
trt145	2
trt142	2
trt141	2
trt140	2
trt133	2
toa9	2
toa8	2
toa6	2
toa5	2
toa4	2
toa30	2
toa27	2
toa26	2
toa18	2
tiw4	2
taj9	2
taj8	2
taj22	2
taj15	2
suj81	2
suj80	2
suj74	2
suj67	2
suj62	2
suj41	2
suj17	2
suj16	2
suj15	2
suj14	2
suh9	2
suh8	2
suh7	2
suh6	2
suh43	2
suh40	2
suh38	2
suh37	2
suh36	2
suh32	2
suh31	2
suh30	2
suh29	2
suh22	2
suh21	2
suh10	2
stw9	2
stw64	2
stw5	2
stw44	2
stw247	2
stw241	2
stw21	2
stw200	2
stw16	2
spe4	2
spe29	2
spe28	2
spe19	2
spe11	2
sor99	2
sor96	2
sor81	2
sor80	2
sor74	2
sor73	2
sor51	2
soa41	2
soa37	2
skj45	2
skj42	2
skj38	2
skj34	2
skj22	2
skj19	2
skj18	2
skj13	2
skj10	2
skj1	2
sir63	2
sip97	2
sip8	2
sip79	2
sip78	2
sip67	2
sip65	2
sip62	2
sip57	2
sip56	2
sip49	2
sip46	2
sip41	2
sip40	2
sip38	2
sip29	2
sip23	2
sip21	2
sip19	2
sip12	2
shw64	2
shw63	2
shw62	2
shw60	2
shw57	2
shw50	2
shw40	2
shw30	2
shw25	2
shw23	2
shw19	2
shw18	2
shw12	2
shj96	2
shj94	2
shj92	2
shj9	2
shj86	2
shj85	2
shj80	2
shj76	2
shj74	2
shj72	2
shj71	2
shj67	2
shj61	2
shj50	2
shj5	2
shj48	2
shj47	2
shj44	2
shj42	2
shj39	2
shj38	2
shj25	2
shj24	2
shj21	2
shj19	2
shj15	2
shj14	2
sec81	2
sec73	2
sec67	2
sec60	2
sec52	2
sec39	2
sec32	2
sec31	2
sec30	2
sec22	2
sec17	2
sec16	2
sec1	2
sdt7	2
sdt6	2
sdt5	2
sdt37	2
sdt24	2
sdt23	2
sdt18	2
sat5	2
sag4	2
sag17	2
rub1	2
roj78	2
roj63	2
roj62	2
roj48	2
roj47	2
roj46	2
roj33	2
roj31	2
roj20	2
roj18	2
roj11	2
roj108	2
roj102	2
rnt86	2
rnt74	2
rnt72	2
rnt68	2
rnt60	2
rnt58	2
rnt55	2
rnt53	2
rnt45	2
rnt39	2
rnt32	2
rnt31	2
rnt3	2
rnt29	2
rnt23	2
rnt148	2
rnt132	2
rnt117	2
rnt112	2
rnt111	2
rnt109	2
raw88	2
raw83	2
raw80	2
raw75	2
raw66	2
raw63	2
raw42	2
raw41	2
raw32	2
raw2	2
raw126	2
raw121	2
raw104	2
raw102	2
raw1	2
puh85	2
puh121	2
psk80	2
psk73	2
psk68	2
psk63	2
psk58	2
psk45	2
psk4	2
psk18	2
psk162	2
psk150	2
psk135	2
psk131	2
psk120	2
psk115	2
psk108	2
plg6	2
pew82	2
pew71	2
pew68	2
pew63	2
pew60	2
pew59	2
pew58	2
pew46	2
pew30	2
pew29	2
pew27	2
pew24	2
pew20	2
dnj240	1
dnj238	1
dnj237	1
dnj236	1
dnj229	1
dnj220	1
dnj201	1
dnj2	1
dnj174	1
dnj170	1
dnj169	1
dnj168	1
dnj150	1
dnj149	1
dnj125	1
dlt1	1
dkt9	1
dkt4	1
dkt2	1
dkt18	1
dkt15	1
dkt14	1
dkt13	1
dkt12	1
dkt11	1
dkt1	1
dia8	1
dia7	1
dia6	1
dia5	1
dia4	1
dia2	1
dia1	1
dej6	1
dej45	1
dej43	1
dej37	1
dej36	1
dej32	1
dej3	1
dej29	1
dej23	1
dej17	1
dej14	1
dee1	1
daw8	1
daw7	1
daw65	1
daw63	1
daw62	1
daw6	1
daw59	1
daw54	1
daw52	1
daw50	1
daw45	1
daw43	1
daw42	1
daw41	1
daw40	1
daw39	1
daw37	1
daw36	1
daw35	1
daw33	1
daw32	1
daw31	1
daw30	1
daw29	1
daw28	1
daw26	1
daw25	1
daw24	1
daw17	1
daw16	1
daw13	1
daw12	1
das7	1
das6	1
das5	1
das41	1
das4	1
das37	1
das36	1
das35	1
das33	1
das32	1
das3	1
das29	1
das28	1
das27	1
das26	1
das25	1
das24	1
das23	1
das21	1
das20	1
das2	1
das18	1
das16	1
das15	1
das14	1
das13	1
das11	1
daj9	1
daj76	1
daj72	1
daj71	1
daj7	1
daj61	1
daj60	1
daj56	1
daj55	1
daj54	1
daj53	1
daj52	1
daj50	1
daj47	1
daj45	1
daj43	1
daj42	1
daj41	1
daj40	1
daj38	1
daj37	1
daj36	1
daj35	1
daj34	1
daj33	1
daj3	1
daj29	1
daj28	1
daj25	1
daj24	1
daj19	1
daj18	1
daj15	1
daj14	1
daj13	1
daj12	1
daj11	1
daj10	1
daj1	1
cwt90	1
cwt64	1
cwt55	1
cwt19	1
cwt15	1
cwt136	1
cwt133	1
cwt129	1
cwt114	1
cwt113	1
cwt107	1
cwt103	1
cvm2	1
cvm1	1
ctr9	1
ctr39	1
ctr36	1
ctr34	1
ctr32	1
ctr29	1
ctr27	1
ctr16	1
ctr13	1
ctr1	1
crr98	1
crr92	1
crr91	1
crr9	1
crr87	1
crr79	1
crr70	1
crr69	1
crr6	1
crr58	1
crr5	1
crr45	1
crr43	1
crr38	1
crr34	1
crr33	1
crr29	1
crr28	1
crr25	1
crr249	1
crr248	1
crr247	1
crr246	1
crr245	1
crr244	1
crr243	1
crr242	1
crr241	1
crr240	1
crr24	1
crr239	1
crr238	1
crr237	1
crr236	1
crr234	1
crr233	1
crr232	1
crr231	1
crr230	1
crr23	1
crr229	1
crr228	1
crr227	1
crr226	1
crr225	1
crr224	1
crr223	1
crr222	1
crr22	1
crr219	1
crr218	1
crr217	1
crr216	1
crr215	1
crr214	1
crr211	1
crr210	1
crr209	1
crr207	1
crr205	1
crr204	1
crr203	1
crr202	1
crr201	1
crr199	1
crr198	1
crr197	1
crr196	1
crr195	1
crr194	1
crr193	1
crr192	1
crr191	1
crr190	1
crr189	1
crr188	1
crr187	1
crr186	1
crr185	1
crr184	1
crr183	1
crr182	1
crr181	1
crr180	1
crr179	1
crr178	1
crr177	1
crr176	1
crr175	1
crr174	1
crr173	1
crr172	1
crr171	1
crr170	1
crr169	1
crr168	1
crr167	1
crr165	1
crr164	1
crr163	1
crr162	1
crr161	1
crr160	1
crr159	1
crr157	1
crr156	1
crr155	1
crr154	1
crr152	1
crr151	1
crr150	1
crr149	1
crr148	1
crr147	1
crr139	1
crr134	1
crr133	1
crr130	1
crr129	1
crr122	1
crr114	1
crr112	1
crr106	1
cor58	1
cor57	1
cor56	1
cor55	1
cor54	1
cor53	1
cor51	1
cor48	1
cor46	1
cor44	1
cor34	1
cor32	1
coh9	1
coh88	1
coh87	1
coh86	1
coh84	1
coh82	1
coh81	1
coh79	1
coh78	1
coh77	1
coh76	1
coh75	1
coh74	1
coh73	1
coh72	1
coh69	1
coh68	1
coh67	1
coh66	1
coh6	1
coh56	1
coh50	1
coh49	1
coh48	1
coh47	1
coh46	1
coh41	1
coh4	1
coh39	1
coh38	1
coh36	1
coh28	1
coh27	1
coh26	1
coh24	1
coh22	1
coh21	1
coh20	1
coh2	1
coh18	1
coh12	1
coh10	1
coa96	1
coa95	1
coa90	1
coa87	1
coa85	1
coa76	1
coa74	1
coa72	1
coa71	1
coa7	1
coa64	1
coa63	1
coa58	1
coa56	1
coa55	1
coa53	1
coa50	1
coa49	1
coa47	1
coa46	1
coa44	1
coa42	1
coa41	1
coa40	1
coa37	1
coa31	1
coa30	1
coa28	1
coa26	1
coa25	1
coa21	1
coa20	1
coa2	1
coa17	1
coa15	1
coa13	1
coa117	1
coa113	1
coa111	1
coa110	1
coa11	1
coa105	1
coa104	1
coa103	1
coa102	1
cnc97	1
cnc96	1
cnc95	1
cnc94	1
cnc93	1
cnc92	1
cnc91	1
cnc90	1
cnc9	1
cnc89	1
cnc88	1
brn11	1
brn10	1
brn1	1
bmf7	1
bmf22	1
bma3	1
bej9	1
bej7	1
bej6	1
bej4	1
bej35	1
bej31	1
bej30	1
bej3	1
bej28	1
bej25	1
bej24	1
bej23	1
bej22	1
bej20	1
bej2	1
bej19	1
bej18	1
bej17	1
bej16	1
bej15	1
bej13	1
bej12	1
bej11	1
bej1	1
bea6	1
bea5	1
bea4	1
bea39	1
bea38	1
bea35	1
bea34	1
bea33	1
bea30	1
bea29	1
bea28	1
bea27	1
bea26	1
bea25	1
bea23	1
bea21	1
bea20	1
bea18	1
bea17	1
bea16	1
bea13	1
bea12	1
bea11	1
bda23	1
bcf99	1
bcf96	1
bcf93	1
bcf92	1
bcf91	1
bcf84	1
bcf82	1
bcf8	1
bcf79	1
bcf78	1
bcf77	1
bcf72	1
bcf67	1
bcf66	1
bcf64	1
bcf60	1
bcf58	1
bcf56	1
bcf54	1
bcf45	1
bcf43	1
bcf42	1
bcf40	1
bcf38	1
bcf37	1
bcf36	1
bcf33	1
bcf31	1
bcf23	1
bcf21	1
bcf20	1
bcf2	1
bcf133	1
bcf130	1
bcf126	1
bcf125	1
bcf124	1
bcf122	1
bcf121	1
bcf120	1
bcf119	1
bcf118	1
bcf117	1
bcf116	1
bcf115	1
bcf113	1
bcf111	1
bcf105	1
bcf103	1
bcf100	1
barj80	1
barj79	1
barj78	1
barj77	1
barj76	1
barj75	1
barj74	1
barj73	1
barj72	1
barj71	1
barj70	1
barj7	1
barj69	1
barj68	1
barj67	1
barj66	1
barj65	1
barj64	1
barj63	1
barj62	1
barj61	1
barj60	1
barj59	1
barj58	1
barj57	1
barj56	1
barj55	1
barj54	1
barj53	1
barj52	1
barj51	1
barj50	1
barj49	1
barj47	1
barj46	1
barj45	1
barj44	1
barj42	1
barj41	1
barj40	1
barj4	1
barj39	1
barj38	1
barj37	1
barj36	1
barj34	1
barj33	1
barj32	1
barj31	1
barj30	1
barj3	1
barj29	1
barj28	1
barj27	1
barj26	1
barj24	1
barj23	1
barj2	1
barj19	1
barj1	1
bar8	1
bar7	1
bar6	1
bar5	1
bar4	1
bar2	1
bar1	1
baj8	1
baj6	1
baj50	1
baj5	1
baj49	1
baj47	1
baj46	1
baj44	1
baj43	1
baj42	1
baj41	1
baj40	1
baj4	1
baj39	1
baj37	1
baj36	1
baj34	1
baj33	1
baj32	1
baj27	1
baj26	1
baj25	1
baj24	1
baj21	1
baj18	1
baj16	1
baj14	1
baj13	1
baj12	1
baj11	1
baj1	1
baa2	1
baa1	1
b_f80	1
b_f76	1
b_f73	1
b_f7	1
b_f69	1
b_f68	1
b_f67	1
b_f66	1
b_f61	1
b_f57	1
b_f55	1
b_f53	1
b_f50	1
b_f5	1
b_f49	1
b_f47	1
b_f46	1
b_f45	1
b_f43	1
b_f42	1
b_f4	1
b_f39	1
b_f34	1
b_f32	1
b_f27	1
b_f26	1
b_f25	1
b_f22	1
b_f20	1
b_f16	1
b_f13	1
b_f11	1
auk2	1
auk1	1
asr9	1
asr8	1
asr7	1
asr2	1
asr1	1
asm9	1
asm8	1
asm6	1
asm5	1
asm4	1
asm3	1
asm2	1
asm16	1
asm15	1
asm14	1
asm13	1
asm12	1
asm11	1
asm10	1
asm1	1
ard1	1
andl9	1
andl8	1
andl7	1
andl5	1
andl45	1
andl44	1
andl43	1
andl41	1
andl38	1
andl34	1
andl32	1
andl28	1
andl27	1
andl22	1
andl21	1
andl20	1
andl18	1
andl16	1
andl15	1
andl14	1
andl13	1
andl12	1
andl11	1
andl10	1
alw99	1
alw9	1
alw89	1
alw88	1
alw85	1
alw84	1
alw83	1
alw82	1
alw81	1
alw8	1
alw79	1
alw77	1
alw76	1
alw74	1
alw73	1
alw72	1
alw7	1
alw6	1
alw51	1
alw50	1
alw5	1
alw4	1
alw31	1
alw30	1
alw3	1
alw29	1
alw28	1
alw27	1
alw23	1
alw22	1
alw21	1
alw20	1
alw2	1
alw18	1
alw17	1
alw16	1
alw15	1
alw143	1
alw140	1
alw14	1
alw135	1
alw134	1
alw133	1
alw132	1
alw131	1
alw130	1
alw13	1
alw129	1
alw128	1
alw127	1
alw126	1
alw125	1
alw124	1
alw123	1
alw122	1
alw121	1
alw120	1
alw12	1
alw119	1
alw118	1
alw117	1
alw11	1
alw107	1
alw105	1
alw100	1
alw10	1
alw1	1
